t;Rf;VT;VE;VO2;VCO2;RQ;HR;Power;La-
s;1/min;L(btps);L/min;mL/min;mL/min;---;bpm;Watt;mmol/L
00:05;21,28;0,401;8,532;190,7935723;192,3442547;1,01;68;0;
00:10;17,45;0,786;13,719;361,5312289;355,4560967;0,98;70;0;
00:15;16,55;0,94;15,553;424,1986684;414,242658;0,98;70;0;
00:20;17,29;0,868;15,012;397,4049743;390,6632572;0,98;70;0;
00:25;16,98;0,887;15,059;384,9564213;381,1631753;0,99;69;0;
00:30;15,99;0,872;13,932;344,1175998;343,4700152;1;68;0;
00:35;14,84;0,901;13,368;331,460186;327,5105788;0,99;68;0;
00:40;15,9;0,806;12,819;326,0889498;313,4546673;0,96;67;0;
00:45;17,02;0,792;13,481;350,9938143;328,914157;0,94;67;0;
00:50;20,3;0,744;15,1;404,018126;375,545675;0,93;67;0;1,2
00:55;15,34;1,301;19,956;499,8261665;518,3287438;1,04;67;0;
01:00;14,48;1,346;19,496;472,497415;509,514234;1,08;67;0;
01:05;13,62;1,56;21,236;509,2320559;575,6940004;1,13;68;80;
01:10;16,76;1,181;19,788;506,7792129;561,7619966;1,11;78;80;
01:15;19,15;1,196;22,896;625,2578943;680,2175504;1,09;89;80;
01:20;18,53;1,184;21,928;688,156451;688,7127136;1;101;80;
01:25;17,57;1,18;20,723;728,6078834;671,4295497;0,92;105;80;
01:30;15,53;1,386;21,523;875,9318198;729,2864322;0,83;108;80;
01:35;14,6;1,649;24,083;1150,705098;868,4685865;0,75;112;80;
01:40;15,27;1,896;28,954;1475,950096;1078,665645;0,73;114;80;
01:45;17,24;1,871;32,264;1652,148615;1199,481597;0,73;114;80;
01:50;17,44;1,818;31,715;1573,330564;1156,275021;0,73;113;80;
01:55;18,66;1,691;31,565;1528,846636;1131,162339;0,74;111;80;
02:00;18,61;1,738;32,342;1507,052022;1138,187173;0,76;108;80;
02:05;22,67;1,732;39,261;1723,787092;1342,757914;0,78;105;80;
02:10;17,8;2,113;37,599;1605,832072;1320,391472;0,82;104;80;
02:15;16,39;2,227;36,514;1636,871538;1317,3192;0,8;104;80;
02:20;16,08;2,106;33,862;1521,798406;1240,344204;0,82;104;80;
02:25;19,18;1,851;35,501;1620,463179;1278,602849;0,79;103;80;
02:30;19,35;1,805;34,942;1616,83965;1269,382936;0,79;103;80;
02:35;18,4;1,874;34,479;1641,917558;1271,017309;0,77;104;80;
02:40;18,1;1,925;34,842;1687,126637;1319,82915;0,78;106;80;
02:45;18,16;1,944;35,307;1653,552269;1346,431615;0,81;107;80;
02:50;19,22;1,907;36,65;1662,500003;1387,922438;0,83;106;80;
02:55;20,5;1,754;35,962;1548,244986;1329,978444;0,86;105;80;
03:00;17,91;1,87;33,499;1430,509809;1256,907257;0,88;106;80;
03:05;18,15;1,8;32,664;1403,137755;1233,358307;0,88;106;80;
03:10;18,67;1,775;33,14;1422,801539;1253,306201;0,88;106;80;
03:15;22,97;1,62;37,218;1528,628604;1341,17111;0,88;106;80;
03:20;22,78;1,7;38,73;1565,328838;1381,522325;0,88;107;80;
03:25;23,23;1,665;38,671;1555,044217;1376,439945;0,89;108;80;
03:30;23,58;1,626;38,338;1520,091287;1369,456494;0,9;108;80;
03:35;21;1,715;36,032;1412,854586;1285,108962;0,91;108;80;
03:40;15,13;2,086;31,566;1350,586595;1204,617105;0,89;109;80;
03:45;14,98;2,081;31,171;1426,445716;1218,357374;0,85;109;80;
03:50;15,71;2,043;32,098;1561,53827;1280,588709;0,82;109;80;
03:55;21,39;1,81;38,706;1802,081083;1459,114644;0,81;108;80;1,5
04:00;23,14;1,792;41,478;1784,58943;1505,967721;0,84;108;80;
